Child,Parent,Parent_Qa,ChildQ
4249861,2283262,810.7,0
6799434,4186886,1553,0
6801007,4303970,702,0
4617711,4408164,114,0
4617140,4408438,60,0
6801227,4629766,212,0
4660048,4654533,7675.5,0
4660018,4655093,185,0
6800024,4666735,3100,0
6799457,4723251,262.15,0
4330035,4330035,1200,0
6800286,5160371,732,0
6799259,5481492,319,0
6799258,5481522,143.5,0
6799215,6461982,1867,0
6800958,6505603,1543,0
4227130,2032317,202.8,0
2087291,2043457,1376,0
4230904,2044816,240,0
4230913,2044816,240,0
4231102,2044816,240,0
2087322,2047216,24,0
4230904,2044816,240,0
4230913,2044816,240,0
4231102,2044816,240,0
2087322,2047216,24,0
2087433,2071606,724,0
4231117,2073891,800,0
2087609,2075614,3065.6,0
6800841,2076975,240,10.16
2087430,2077017,1229,0
4228726,2077207,334,0
2087471,2077409,785,0
2087472,2077409,785,0
2087280,2077430,641,0
4265740,2077641,48,0
2087285,2077791,307,0
4228739,2077797,180,0
2087410,2078019,141,0
4228714,2078454,210,0
2087409,2078531,460,0
2087417,2078723,400,0
2087607,2078723,400,0
2087358,2078724,32430,0
2087287,2078751,27,0
2087286,2078823,160,0
2087429,2078990,2696,0
2087418,2079050,880,0
2087316,2079091,249.55,0
2087314,2079098,113,0
2087552,2079306,72.42,13.26
4700966,2079323,330.6,0
2087394,2079503,136,0
2087151,2079954,237,0
4231464,2080033,37.7,0
4231312,2080034,320,114.6
2087342,2080039,5465.62,0
2087304,2080044,166,0
2087305,2080045,214,0
2087451,2080084,49551,0
2087470,2080084,49551,0
4234082,2080084,49551,0
4234530,2080084,49551,0
6677254,2080859,1448,0
6676918,2080943,1448,0
4242839,2081389,336,0
2087387,2081517,4116,0
6577335,2081649,640,0
2087448,2082784,560,0
4247342,2082970,407,0
2087294,2083057,62,0
2087447,2083239,185,0
4249897,2083662,39,0
2087401,2083689,1084,0
2087445,2083846,2080,0
2087446,2083847,600,0
2087389,2084019,80,0
4228754,2084019,80,0
2087442,2084453,600,0
2087443,2084455,96,0
2087444,2084456,1430,0
2087459,2084661,695.5,0
2087399,2085369,111.6,0
6802832,2086102,4,0
2086753,2086753,26128,5042
2087731,2087731,1200,0
6718285,2089001,66,0
4329809,2117301,403,0
2145638,2130586,620,0
2145637,2130715,1948,0
2145644,2131271,3340,0
2145630,2132318,18300,0
4231478,2132644,8.57,2.26
2087608,2132808,221,0
2087584,2132809,6420,0
2087585,2132809,6420,0
2087388,2132814,400,0
2087536,2133008,44.6,0
2144746,2133252,270,0
4240687,2133437,308.8,0
4317022,2134246,150,0
4287009,2135352,800,800
4234227,2135725,240,0
6669488,2135725,240,0
6802250,2135725,240,0
6618327,2138508,70,0
4732491,2138662,120.9,0
6800740,2140461,1090,0
2145658,2145657,15916,0
2223080,2218177,17,1
6628241,2224457,6400,0
6802378,2224457,6400,0
6802373,2224460,3022,0
6672373,2275655,220,0
6666945,2276482,74,0
6670550,2281090,72,0
6670541,2281781,58,0
2224189,2282386,336,0
6802263,2282427,46,0
6695437,2283198,210,0
2087439,2283374,230,0
2087438,2283376,160,0
6723244,2283477,300,0
2087440,2283840,138.56,0
6667093,2284304,3700,0
4150706,4150706,193.25,0
4150717,4150717,152.75,0
2087349,4174116,13200,0
2087604,4174116,13200,0
4180270,4180270,451.26,0
4180345,4180345,38.4,0
4180386,4180386,392.84,0
4180458,4180458,146.4,0
2087403,4190754,4088,0
2145625,4191985,43704,0
2145639,4191985,43704,0
4540727,4540727,54,0
4540774,4540774,54,0
4540067,4540067,55.9,0
6799770,6799770,145776,0
4539154,4539154,283.4,0
2087290,2087290,843.6,0
6800617,6800276,608.4,0
6800598,6800358,608.4,0
6801396,6800618,118,0
6802108,6801581,764.65,0
4488739,2277472,132,0
6571764,4554706,217,0
6571724,4554706,217,0
