WR_Doc_ID,Parent,Parent_Qa,AnnualVolumeQuantity_filled
2079148,NULL,,48
2079154,NULL,,136
2079156,NULL,,32
2079159,NULL,,110
2079161,NULL,,24
2079164,NULL,,54
2079165,NULL,,160
2079199,NULL,,300
2079252,NULL,,188
2079253,NULL,,128
2079255,NULL,,280
2079257,NULL,,12
2079259,NULL,,224
2079263,NULL,,64
2079266,NULL,,140
2079268,NULL,,60
2079271,NULL,,40
2079273,NULL,,60
2079283,NULL,,188.95
2079289,NULL,,188.8
2079290,NULL,,111.3
2079291,NULL,,243.3
2079292,NULL,,237.15
2079293,NULL,,40
2079294,NULL,,10
2079295,NULL,,262.05
2079296,NULL,,214.75
2079297,NULL,,65.05
2079300,NULL,,113.25
2079303,NULL,,127.2
2079304,NULL,,27.45
2079305,NULL,,116.5
2079307,NULL,,80.95
2079308,2079308,88.25,77.45
2079309,NULL,,331.6
2079310,NULL,,151.12
2079312,NULL,,354.35
2079313,NULL,,250
2079314,NULL,,11.4
2079315,NULL,,263.5
2079316,NULL,,724.15
2079317,NULL,,397.9
2079318,NULL,,80.5
2079321,NULL,,311.48
2079322,NULL,,32.6
2079324,NULL,,42.72
2079329,NULL,,16
2079330,NULL,,124
2079335,NULL,,40
2079338,NULL,,80
2079356,NULL,,30
2079463,NULL,,8
2079496,NULL,,40
2079500,NULL,,160
2079543,NULL,,24
2079578,NULL,,80
2079602,NULL,,8
2079614,NULL,,6.16
2079615,NULL,,4
2079619,NULL,,80
2079622,NULL,,60
2079624,NULL,,146.4
2079626,NULL,,40
2079635,NULL,,12
2079638,NULL,,59.24
2079645,NULL,,120
2079647,NULL,,48
2079652,NULL,,160
2079655,NULL,,80
2079667,NULL,,84
2079691,NULL,,176
2079781,NULL,,200
2079782,NULL,,20
2079783,NULL,,20
2079784,NULL,,12
2079785,NULL,,20
2079789,NULL,,20
2079794,NULL,,64
2079795,NULL,,120
2079796,NULL,,24
2079801,NULL,,176
2079833,NULL,,304
2079843,NULL,,1200
2079844,NULL,,480
2079847,NULL,,200
2079848,NULL,,58
2079850,NULL,,96
2079851,NULL,,125
2079852,NULL,,1000
2079853,NULL,,40
2079854,NULL,,4800
2079855,NULL,,600
2079856,NULL,,140
2079866,NULL,,52
2079867,NULL,,340
2079868,NULL,,360
2079873,NULL,,100
2079875,NULL,,62
2079899,NULL,,224.68
2079901,NULL,,24
2079902,NULL,,32
2079904,NULL,,200
2079920,NULL,,100
2079921,NULL,,114
2079931,NULL,,44
2079934,NULL,,660
2079939,NULL,,60
2079940,NULL,,3200
2080012,NULL,,320
2080021,NULL,,1000
2080022,NULL,,75
2080032,NULL,,320
2080042,NULL,,10315
2080043,NULL,,100
2080050,NULL,,189.6
2080052,NULL,,48
2080054,NULL,,280.95
2080057,NULL,,6
2080062,NULL,,2
2080063,NULL,,9
2080066,NULL,,54
2080069,NULL,,64
2080078,NULL,,8
2080079,NULL,,80
2080081,NULL,,30
2080085,NULL,,111
2080086,NULL,,60
2080088,NULL,,120
2080089,NULL,,60
2080090,NULL,,80
2080092,NULL,,3520
2080093,NULL,,200
2080107,NULL,,40
2080118,NULL,,40
2080123,NULL,,20
2080124,NULL,,67
2080126,NULL,,6
2080127,NULL,,315
2080129,NULL,,40
2080130,NULL,,23.5
2080131,NULL,,20
2080133,NULL,,158
2080134,NULL,,48
2080135,NULL,,83
2080137,NULL,,72
2080139,NULL,,147
2080140,NULL,,88
2080143,NULL,,371
2080144,NULL,,142
2080145,NULL,,56
2080146,NULL,,112
2080147,NULL,,56
2080148,NULL,,8
2080149,NULL,,8
2080151,NULL,,39
2080152,NULL,,19
2080154,NULL,,112
2080159,NULL,,26
2080163,2083901,528,50
2080164,2083901,528,42
2080165,2083901,528,436
2080169,NULL,,152
2080170,NULL,,248
2080171,NULL,,192
2080173,NULL,,22
2080174,NULL,,37
2080175,NULL,,38
2080176,NULL,,40
2080179,NULL,,102
2080187,NULL,,80
2080308,NULL,,80
2080322,NULL,,7
2080327,NULL,,5
2080328,NULL,,4
2080332,NULL,,4.5
2080359,NULL,,2
2080361,NULL,,18
2080389,NULL,,24
2080390,NULL,,3
2080392,NULL,,27
2080394,NULL,,22
2080396,NULL,,13.5
2080423,NULL,,10
2080424,2080424,37,37
2080427,NULL,,85
2080429,NULL,,90
2080430,NULL,,24.4
2080431,NULL,,38
2080435,NULL,,341.5
2080436,NULL,,46
2080440,NULL,,6
2080445,NULL,,40
2080446,NULL,,80
2080448,NULL,,48
2080449,NULL,,14
2080451,NULL,,148
2080453,NULL,,12.8
2080456,NULL,,5
2080457,NULL,,63.4
2080458,NULL,,577.9
2080459,NULL,,8
2080465,NULL,,20
2080469,NULL,,318.6
2080470,NULL,,4
2080472,NULL,,8
2080474,NULL,,8.5
2080475,NULL,,18.55
2080476,NULL,,1219.2
2080477,NULL,,2
2080480,NULL,,126.2
2080484,NULL,,10
2080485,NULL,,12.5
2080486,NULL,,80
2080487,NULL,,6
2080489,NULL,,98
2080490,NULL,,128
2080491,NULL,,415.7
2080497,NULL,,28
2080498,NULL,,126.4
2080499,NULL,,9
2080500,NULL,,75.8
2080502,NULL,,22
2080503,NULL,,17
2080504,NULL,,24
2080507,NULL,,14
2080508,NULL,,41.1
2080509,NULL,,90
2080510,NULL,,6
2080511,NULL,,224.2
2080512,NULL,,36
2080515,NULL,,65.6
2080516,NULL,,12
2080517,NULL,,20
2080518,NULL,,52
2080519,NULL,,3
2080520,NULL,,26.7
2080522,NULL,,7
2080523,NULL,,5.2
2080524,NULL,,161.2
2080525,NULL,,17
2080526,NULL,,12
2080529,NULL,,148.7
2080531,NULL,,20
2080535,NULL,,9
2080536,NULL,,29
2080540,NULL,,11
2080541,NULL,,87
2080542,NULL,,24.4
2080543,NULL,,42
2080546,NULL,,26
2080549,NULL,,18.6
2080551,NULL,,2
2080554,NULL,,33
2080556,NULL,,45.2
2080558,NULL,,2.85
2080561,NULL,,30.7
2080562,NULL,,7.6
2080569,NULL,,9
2080577,NULL,,18
2080579,NULL,,45
2080586,NULL,,20
2080587,NULL,,28.25
2080589,NULL,,22
2080590,NULL,,1.1
2080591,NULL,,10
2080592,NULL,,30
2080598,NULL,,111
2080599,NULL,,24.1
2080600,NULL,,13.4
2080602,NULL,,14.1
2080604,NULL,,20
2080605,NULL,,18.5
2080612,NULL,,38
2080617,NULL,,9
2080620,NULL,,18.5
2080621,NULL,,274.6
2080624,NULL,,70
2080626,NULL,,50
2080627,NULL,,8.6
2080628,NULL,,36
2080629,NULL,,11.6
2080631,NULL,,68
2080632,NULL,,40
2080634,NULL,,50.6
2080638,NULL,,6
2080640,NULL,,18
2080642,NULL,,12
2080647,NULL,,588
2080648,NULL,,14
2080653,NULL,,6
2080656,NULL,,18.1
2080662,NULL,,8.6
2080663,NULL,,38
2080664,NULL,,18.4
2080665,NULL,,8.8
2080671,NULL,,18.1
2080672,NULL,,8.6
2080673,NULL,,5
2080674,NULL,,55
2080675,NULL,,15
2080679,NULL,,10
2080680,NULL,,32.3
2080683,NULL,,20
2080684,NULL,,4.6
2080685,NULL,,5.6
2080686,NULL,,29
2080694,NULL,,22
2080695,NULL,,9.5
2080696,NULL,,9.5
2080697,NULL,,20.17
2080700,NULL,,19.7
2080702,NULL,,21
2080703,NULL,,12
2080705,NULL,,40
2080706,NULL,,200.34
2080707,NULL,,30
2080708,NULL,,12
2080709,NULL,,5.3
2080712,NULL,,6.5
2080714,NULL,,19.1
2080716,NULL,,60.2
2080717,NULL,,29.17
2080725,NULL,,20
2080731,NULL,,55
2080732,NULL,,26.4
2080735,NULL,,34
2080738,NULL,,7.7
2080739,NULL,,9
2080741,NULL,,25.5
2080742,NULL,,76
2080744,NULL,,4.5
2080745,NULL,,2
2080747,NULL,,9
2080749,NULL,,8.81
2080750,NULL,,296
2080753,NULL,,6.7
2080757,NULL,,942
2080759,NULL,,70.9
2080760,NULL,,586
2080762,NULL,,21.6
2080767,NULL,,20.7
2080768,NULL,,2.5
2080769,NULL,,85.25
2080770,NULL,,24.25
2080778,NULL,,128.4
2080779,NULL,,6
2080782,NULL,,18
2080784,NULL,,9.8
2080787,NULL,,284.27
2080790,NULL,,25.6
2080791,NULL,,11
2080792,NULL,,11
2080793,NULL,,63
2080798,NULL,,11
2080800,NULL,,9
2080802,NULL,,6
2080803,NULL,,184
2080804,NULL,,6
2080807,NULL,,9.4
2080810,NULL,,39
2080812,NULL,,21
2080813,NULL,,3.52
2080814,NULL,,12.3
2080815,NULL,,30
2080816,NULL,,4.88
2080818,NULL,,150
2080824,NULL,,8
2080827,NULL,,16.7
2080828,NULL,,10.6
2080829,NULL,,240
2080830,NULL,,105.7
2080831,NULL,,7.6
2080833,NULL,,17
2080834,NULL,,16
2080837,NULL,,708
2080839,NULL,,16.5
2080840,NULL,,14
2080841,NULL,,9.7
2080842,NULL,,160
2080843,NULL,,484.4
