WaRecId,WaRecChangeIntentTypeCode
2032389,ChangePlaceOfUse
2087383,ChangePlaceOfUse
4342603,AddSource
2085204,ChangePlaceOfUse
2087525,AddSource
4412095,AddSource
4412095,ChangePurpose
4412095,ChangePlaceOfUse
6801210,ChangeEntireWR
6801210,ChangePurpose
6801210,ChangePlaceOfUse
6801210,ChangeSource
4412156,ChangePlaceOfUse
4412156,AddSource
4412156,ChangePurpose
4424669,ChangePlaceOfUse
4424669,AddSource
2032765,ChangePartOfWR
2032765,AddSource
2032760,ChangePurpose
2032760,AddSource
2032760,ChangePlaceOfUse
2032760,ChangeSource
4164636,ChangePlaceOfUse
4688957,AddSource
4688957,ChangePlaceOfUse
4502654,ChangeEntireWR
4502654,ChangePlaceOfUse
2085058,AddSource
2085058,ChangePlaceOfUse
2085277,AddSource
