ParentWaRecId	ChildWaRecId	IsMitigationFlag
2074433	2032823	False
2074433	2032824	False
2074433	2032825	False
2074433	2032826	False
2074433	2032829	False
2074433	2032841	False
2074433	2032843	False
2074433	2032863	False
2074433	2032864	False
2074433	2032869	False
2074433	2032983	False
2074433	2032989	False
2074433	2033016	False
2074433	2033017	False
2074433	2033021	
2074433	2033025	False
2074433	2033027	False
2074433	2033032	
2074433	2033033	
2074433	2033034	
2074433	2085150	
2074433	2086850	False
2074433	2087587	
2074433	2087665	False
2074433	4169073	False
2074433	4326388	
2074433	4330727	
2074433	4402423	
2074433	4702149	
2074433	4702227	
2074433	4702331	
2074433	5921321	
2074733	2085248	
2074858	2086976	
2074860	2086983	
2074931	2086986	
2074932	2086987	
2075003	6801675	False
2075010	4502553	
2075037	2084911	
2075037	2087326	
2075086	4185200	
2075155	6799094	
2075155	6800526	False
2075167	4759071	False
2075189	2032455	False
2075189	2087258	
2075255	2033004	
2075275	2032726	
2075310	6802658	False
2075310	6802659	False
2075385	4753055	False
2075389	6802166	False
2075408	4522999	
2075412	2032513	
2075412	2032996	
2075414	2032385	
2075421	5921446	
2075428	6799927	
2075429	4227590	
2075429	4231157	
2075432	2086736	
2075433	6802310	False
2075435	6802934	False
2075439	6802935	False
2075442	2086737	
2075459	4477382	
2075460	2084774	
2075461	4242516	
2075509	4759513	False
2075510	4759503	False
2075515	4256551	
2075515	4656141	
2075515	4656149	
2075515	4710003	
2075519	4316480	
2075519	4710018	
2075519	5078469	
2075519	5644095	
2075519	6167602	
2075519	6799508	False
2075566	2085109	
2075568	2085063	
2075571	5723945	
2075571	6698301	
2075573	2085108	
2075591	4288333	
2075601	2085147	
2075603	2032453	
2075604	2032454	
2075604	2087694	
2075614	2032362	
2075614	2084515	
2075614	2087180	
2075614	2087540	
2075614	2087609	
2075616	2084848	
2075618	2084847	
2075619	6803027	False
2075621	6803028	False
2075653	4227573	
2075653	4231134	
2075674	2085240	
2075680	5921436	
2075686	2084654	
2075709	2086972	
2075781	4619689	
2075781	4649703	
2075782	4511579	
2075799	2075476	False
2075799	2085222	False
2075799	2085274	False
2075813	4148926	
2075817	4157916	
2075819	4145606	
2075819	4189963	
2075820	2085067	
2075913	4615969	
2075913	4678319	
2075935	4411313	
2075935	4511709	
2075935	4632853	
2075935	4684908	
2075935	6259090	
2075935	6626130	
2075935	6802998	False
2075948	2087273	
2075970	5162377	
2075972	5162405	
2075975	6802360	False
2076028	4210701	
2076032	4645535	
2076051	2087182	
2076054	4733102	
2076072	4724059	
2076073	4145487	
2076073	4288794	
2076073	4314183	
2076081	4201192	
2076129	4470443	
2076165	4692570	
2076166	4692499	
2076167	2075360	
2076167	4230997	
2076167	4231006	
2076169	2087154	
2076169	4518637	
2076179	2086739	
2076208	2087200	
2076208	6799929	
2076284	2032725	
2076287	4264775	
2076292	2032499	
2076292	4544916	
2076292	4697911	
2076292	6269238	
2076296	4676282	
2076296	4726605	
2076296	5604547	
2076296	6800418	False
2076330	2032819	
2076330	4622983	
2076340	4495242	
2076345	4736254	
2076402	2086886	
2076403	2086887	
2076404	2086888	
2076406	2032767	
2076414	4235638	
2076416	2087153	
2076416	4518476	
2076416	4621183	
2076416	4719790	
2076416	5683219	
2076416	6565413	
2076416	6801955	False
2076422	2032532	
2076436	2085227	
2076443	2075389	
2076446	5645926	
2076446	5803408	
2076484	4554849	
2076505	2085384	
2076506	2085383	
2076544	4581113	
2076640	4311207	
2076658	2086942	
2076711	4311544	
2076802	2085260	
2076802	6266320	
2076802	6802548	False
2076836	2086941	
2076855	2087198	
2076861	2087307	
2076864	4235067	
2076874	2087222	
2076875	6359863	
2076875	6799950	
2076884	6802747	False
2076907	4223713	
2076907	4276276	
2076943	4676247	
2076943	4726594	
2076943	5604602	
2076943	6800417	False
2076946	4175880	
2076946	5525158	
2076952	2032766	
2076953	4235056	
2076975	6800841	False
2077003	4261928	
2077010	4211056	
2077017	2087430	
2077017	6166148	
2077019	4180964	
2077021	2075355	
2077031	4924420	
2077037	4998644	
2077037	5118940	
2077041	2087202	False
2077048	6802136	False
2077087	4255126	
2077087	4622119	
2077087	4622131	
2077104	4427436	
2077116	4310544	
2077120	4310576	
2077121	4310643	
2077122	4310951	
2077123	4310965	
2077124	4311003	
2077125	4311037	
2077126	4311086	
2077174	2087207	
2077187	4923753	
2077207	4228726	
2077207	4468927	
2077219	6801174	False
2077222	4687679	
2077222	6800440	False
2077224	2087382	
2077224	4264765	
2077241	6802835	False
2077244	4152398	
2077244	4162253	
2077286	2032956	
2077300	4288218	
2077326	2085199	
2077341	2087346	
2077347	4153256	
2077375	6801682	False
2077378	6569690	
2077387	4233190	
2077387	4233223	
2077396	6801157	False
2077401	6802757	False
2077409	2087471	
2077409	2087472	
2077409	4544945	
2077409	4544955	
2077419	6802358	False
2077422	2085251	
2077422	4407413	
2077422	4407422	
2077424	2032818	
4170192	4170192	
2077424	4622887
4622918 4622918	
2077429	2086729	
2077429	4180981	
2077429	4528570	
2077430	2087280	
2077430	4444050	
2077430	4494027	
2077430	4615252	
2077430	4675645	
2077430	4722384	
2077430	5724106	
2077430	6220695	
2077430	6506289	
2077430	6799140	
2077430	6799866	
2077430	6800946	False
2077430	6801801	False
2077432	4189540	
2077440	2087722	
2077462	4484714	
2077462	4549123	
2077462	4593430	
2077463	6501044	
2077463	6800894	False
2077464	4484693	
2077464	4593790	
2077464	4660068	
2077464	6800889	False
2077466	4526099	
2077466	4624433	
2077466	4679454	
2077467	2032413	
2077467	2038202	
2077468	2085145	
2077468	2085146	
2077468	2087667	
2077468	4233037	
2077468	4233066	
2077472	4190530	
2077474	4189749	
2077501	2075370	
2077501	2085032	
2077510	2075132	
2077510	2085045	
2077510	2087148	
2077533	2085038	
2077534	2087073	
2077535	2085262	
2077535	4148796	
2077544	4157644	
2077545	4156898	
2077546	4158453	
2077552	4156833	
2077553	2084509	False
2077553	2087110	
2077553	4156730	
2077553	4156742	
2077553	4156751	
2077553	4156763	
2077560	2084510	False
2077564	2084511	False
2077567	2084749	
2077568	4166236	
2077568	4166242	
2077568	4166250	
2077578	2084750	
2077580	2084512	
2077586	4158464	
2077587	4157670	
2077588	4157599	
2077632	4265753	
2077641	4265740	
2077645	4190517	
2077689	4165042	
2077689	4165050	
2077708	4190671	
2077720	4190694	
2077729	4190747	
2077742	4167370	
2077745	4167385
2077745	2032962	
2077749	2032595	
2077749	4167469	
2077749	4167485	
2077749	4169223	
2077749	4169233	
2077749	4169243	
2077750	2087661	
2077757	4168481	
2077762	4168554	
2077763	2032594	
2077766	4168634	
