WRDocID,Class,Qa_filled,Qi_filled,Purpose,,,
4747057,post-adjudication,286.12,1.25,IR|ST,,,
4747066,post-adjudication,640,2.15,ST|IR,,,
4747076,post-adjudication,480.5,1.33,ST|IR|ST|IR,,,
4747087,post-adjudication,468,1.2,ST|IR|ST|IR,,,
4747096,post-adjudication,31.2,0.08,ST|IR|IR|ST,,,
4747108,post-adjudication,51.6,0.129,ST|IR,,,
4747120,post-adjudication,452,1.2,IR|ST|ST|IR,,,
4747137,post-adjudication,712.8,1.8,ST|ST|IR|IR,,,
4747148,post-adjudication,150.7,0.425,IR|ST|ST|IR,,,
4747163,post-adjudication,81.159,0.208,ST|IR,,,
4747174,post-adjudication,151.2,0.41,IR|ST|IR|ST,,,
4747185,post-adjudication,1.77,0.0066,CI,,,
4747194,post-adjudication,238,0.67,ST|IR|ST|IR,,,
4747221,post-adjudication,299,0.865,ST|IR|IR|ST,,,
4747235,post-adjudication,97.5,0.25,ST|IR|ST|IR,,,
4747247,post-adjudication,75,0.2475,ST|IR,,,
4747257,post-adjudication,391,1.44,ST|ST|IR|IR,,,
4747269,post-adjudication,759,1.8,IR|ST,,,
4747279,post-adjudication,180,0.45,IR|ST|IR|ST,,,
4747290,post-adjudication,300,1,IR|ST|ST|IR,,,
4747301,post-adjudication,507,1.5,IR|ST|IR|ST,,,
4747313,post-adjudication,1.77,0.0111,CI,,,
4747322,post-adjudication,78,0.2,IR|IR,,,
4747332,post-adjudication,39,0.1,ST|IR|IR|ST,,,
4747344,post-adjudication,0.88,0.0111,CI,,,
4747353,post-adjudication,0.88,0.0111,CI,,,
4747362,post-adjudication,0.22,0.0111,CI,,,
4747371,post-adjudication,36,0.09,IR|ST|ST|IR,,,
4747383,post-adjudication,286.9,1.61,IR|ST|IR|ST,,,
4747397,post-adjudication,45,0.1485,IR|ST|IR|ST,,,
4747409,post-adjudication,78,0.2,IR|IR|ST|ST,,,
4747420,post-adjudication,312,0.8,IR|ST|ST|IR,,,
4747451,post-adjudication,597,1.62,ST|ST|IR|IR,,,
4747462,post-adjudication,160,0.44,ST|IR|IR|ST,,,
4747473,post-adjudication,235.5,0.615,ST|IR|IR|ST,,,
4747484,post-adjudication,358,0.97,IR|IR|ST|ST,,,
4747495,post-adjudication,685,1.6,IR|IR,,,
4747505,post-adjudication,169.5,0.4,IR|ST|IR|ST,,,
4747516,post-adjudication,2002,25,ST|IR,,,
4747531,post-adjudication,240,0.6,ST|IR,,,
4747541,post-adjudication,40,0.16,IR|ST|ST|IR,,,
4747551,post-adjudication,110,0.44,ST|ST|IR|IR,,,
4747564,post-adjudication,130.2,0.434,ST|IR|IR|ST,,,
